source_english,reference_hindi,predicted_hindi
"When the animals saw an otherwise expressionless dog move its tail to the right (from the tail-wagging dog's point of view), they stayed perfectly relaxed.",जब जानवरों ने किसी भावशून्य कुत्ते को अपनी पूंछ दाईं ओर (कुत्ते की दृष्टि से) हिलाते देखा तो वे पूरी तरह आराम से रहे।,जब पशुओं ने देखा कि एक भावहीन कुत्ता अपनी पूंछ को दाहिनी ओर ले जा रहा है ( पूंछ वाले कुत्ते के दृष्टिकोण से
"But when they spotted a tail veer predominantly to the left (again from the tail-swishing dog's point of view), their heart rates picked up and they looked anxious.",लेकिन जब उन्होंने पूंछ को दिशा बदलकर मुख्य रूप से बाईं ओर (पुनः कुत्ते की दृष्टि से) घुमाते देखा तो उनकी दिल की धड़कन बढ़ गई और वे बेचैन दिखे।,लेकिन जब उन्होंने एक पूंछ को मुख्य रूप से बाईं ओर देखा ( फिर से पूंछ को झूलते हुए कुत्ते के दृष्टिकोण से ) तो उनके दिल की दरें बढ़ गईं और वे चिंतित दिख रहे थे.
Prof Vallortigara said he didn't think that the dogs were intentionally communicating with each other through these movements.,प्रो. वेल्लरटिगरा के अनुसार उन्हें नहीं लगता कि कुत्ते इन हरकतों के माध्यम से जानबूझकर एक दूसरे से संवाद कर रहे थे।,प्रो वल्लोर्तिगारा ने कहा कि उन्हें नहीं लगता कि कुत्ते जानबूझकर इन गतिविधियों के माध्यम से एक दूसरे के साथ संवाद कर रहे थे.
"Instead, he believes that they dogs have learned from experience what moves they should and shouldn't feel worried about.","इसके बजाय, उन्हें लगता है कि कुत्तों ने यह अपने अनुभव से सीखा है कि उन्हें किस हरकत पर चिंतित होना चाहिए और किस पर नहीं।",बल्कि उनका मानना है कि कुत्तों ने अनुभव से सीखा है कि उन्हें किन चालों के बारे में चिंता करनी चाहिए और किन चालों के बारे में चिंता नहीं करनी चाहिए.
"He said: ""If you have several meetings with other dogs, and frequently their tail wagging one way is associated with a more friendly behaviour, and the right side is producing a less friendly behaviour, you respond on the basis of that experience.""","उन्होंने कहाः ""यदि आप दूसरे कुत्तों से कई बार मिल चुके हैं, और यदि वे अपनी पूंछ को लगातार ही एक तरफ हिलाते हैं तो यह अधिक दोस्ताना व्यवहार से संबंधित है, और दायाँ भाग कम दोस्ताना व्यवहार प्रस्तुत करता है, आप उसी अनुभव के आधार पर प्रतिक्रिया करते हैं।""","उन्होंने कहाः "" यदि आप अन्य कुत्तों के साथ कई बार मुलाकात करते हैं और अक्सर उनकी पूंछ को एक तरह से हिलाना अधिक मैत्रीपूर्ण व्यवहार से जुड़ा होता है और दाहिने पक्ष कम मैत्रीपूर्ण व्यवहार पैदा कर रहा है तो आप उस अनुभव के आधार पर प्रतिक्रिया देते हैं."
"The researchers say the findings could give owners, vets and trainers a better insight into their animal's emotions.","अनुसंधानकर्ताओं का कहना है कि ये निष्कर्ष मालिकों, पशु चिकित्सकों और प्रशिक्षकों को पशुओं की भावनाओं के बारे बेहतर जानकारी प्रदान कर सकते हैं।",शोधकर्ताओं का कहना है कि इन निष्कर्षों से मालिकों. पशु चिकित्सक और प्रशिक्षकों को पशुओं की भावनाओं के बारे में बेहतर जानकारी मिल सकती है.
"Dog behaviour expert John Bradshaw, a visiting fellow at the University of Bristol's school of veterinary science, said this was not the first study to examine whether left and right were important to canines.","यूनिवर्सिटी ऑफ ब्रिस्टल के स्कूल ऑफ वेटरनेरी साइंसेज़ के अतिथि फ़ेलो, कुत्तों के व्यवहार के विशेषज्ञ जॉन ब्रेडशॉ ने बताया कि इसकी जाँच करने के लिए यह पहला अध्ययन नहीं है कि कुत्तों के लिए बायाँ या दायाँ भाग महत्वपूर्ण है या नहीं।",ब्रिस्टल विश्वविद्यालय के स्कूल ऑफ वेटरनरी साइंस के विजिटिंग फेलो डॉग बिहेवियर विशेषज्ञ जॉन ब्रैडशॉ ने कहा कि यह पहला अध्ययन नहीं है जिसमें यह जांच की गई है कि क्या बायां और दाहिना कुत्तों के लिए महत्वपूर्ण हैं.
Last year a team from the University of Lincoln found that dogs turn their heads to the left when looking at an aggressive dog and to the right when looking at a happy dog.,पिछले वर्ष यूनिवर्सिटी ऑफ लिंकन की टीम ने पाया कि जब कुत्ते किसी आक्रामक कुत्ते को देखते हैं तो अपना सिर बाईं ओर घुमाते हैं और खुश कुत्ते को देखने पर अपना सिर दाईं ओर घुमाते हैं।,पिछले साल लिंकन विश्वविद्यालय के एक दल ने पाया कि कुत्ते एक आक्रामक कुत्ते को देखते समय अपने सिर को बाईं ओर और एक खुश कुत्ते को देखते समय दाईं ओर घुमाते हैं.
"And in another research paper from the University of Victoria in Canada, he said: ""Dogs were more likely to approach a robot dog when its 'tail' was made to wag left rather than right, rather than becoming anxious - the opposite way around to the Italian study.""","कनाडा में यूनिवर्सिटी ऑफ विक्टोरिया के अन्य शोध में, उन्होंने बतायाः ""इतालवी अध्ययन के विपरीत - जब रोबोट कुत्ते की पूंछ दाएं की अपेक्षा बाईं ओर हिलाई गई, तो कुत्तों के बेचैन होने की बजाय उसके नजदीक पहुँचने की अधिक संभावना थी।""","और कनाडा में विक्टोरिया विश्वविद्यालय के एक अन्य शोध पत्र में उन्होंने कहाः "" डग्स के रोबोट कुत्ते के पास जाने की अधिक संभावना थी जब उसकी'पूंछ'को चिंतित होने के बजाय दाईं बजाय बाईं ओर घुमाया जाता था- इतालवी अध्ययन के विपरीत."
He said the differences could be because the dogs in the different studies were not fully interpreting the animals in the films or robo-dogs as canines.,उन्होंने कहा कि ये अंतर इसलिए था क्योंकि विभिन्न अध्ययनों में कुत्ते फिल्मों में पशुओं या रोबोट कुत्तों को पूरी तरह श्वान नहीं समझ रहे थे।,उन्होंने कहा कि अंतर इसलिए हो सकता है क्योंकि विभिन्न अध्ययनों में कुत्ते फिल्मों में जानवरों या रोबो कुत्तों को पूरी तरह से कुत्तों के रूप में नहीं समझ रहे थे.
"A study of how dogs responded to real dogs could help, he explained.",उन्होंने स्पष्ट किया कि इसमें कुत्तों द्वारा असली कुत्तों के प्रति प्रतिक्रिया करने के तरीके का अध्ययन मदद कर सकता है।,उन्होंने समझाया कि कुत्ते वास्तविक कुत्तों के प्रति कैसे प्रतिक्रिया देते हैं इसका अध्ययन मदद कर सकता है.
"""While there is considerable evidence from many different mammals that the two sides of the brain are used for different purposes, much of the detail still has to be hammered out - and dogs are no exception,"" he said.","""जबकि विभिन्न स्तनधारियों से इस बात के काफी सबूत मिले हैं कि मस्तिष्क के दो भागों का अलग-अलग उद्देश्यों के लिए उपयोग किया जाता है, अधिक विस्तृत जानकारी प्राप्त होना अभी भी बाकी है - और इस मामले में कुत्ते अपवाद नहीं हैं,"" उन्होंने कहा।",""" हालांकि कई अलग- अलग स्तनधारियों से इस बात के पर्याप्त प्रमाण मिले हैं कि मस्तिष्क के दोनों पक्षों का उपयोग अलग- अलग उद्देश्यों के लिए किया जाता है"
"However, given the ease with which their behaviour can be recorded, it will probably not be long before we understand why their tails sometimes go one way, sometimes the other.","हालांकि, जिस आसानी से उनके व्यवहार को दर्ज किया जा सकता है, उसे देखते हुए लगता है कि हमें यह समझने में संभवतः अधिक समय नहीं लगेगा कि उनकी दुम कभी एक तरफ तो कभी दूसरी तरफ क्यों हिलती है।",लेकिन जिस आसानी से उनके व्यवहार को दर्ज किया जा सकता है उसे देखते हुए शायद हमें यह समझने में ज्यादा समय नहीं लगेगा कि उनकी पूंछ कभी कभी एक तरफ क्यों जाती है और कभी दूसरी तरफ क्यों जाती है.
Arctic Monkeys postpone Glasgow gig due to Alex Turner's illness,एलेक्स टर्नर की बीमारी के कारण आर्कटिक मंकीज ने ग्लासगो गिग स्थगित की,आर्कटिक मंकीज़ ने एलेक्स टर्नर की बीमारी के कारण ग्लासगो गिग को स्थगित कर दिया
Rock band the Arctic Monkeys have postponed a gig in Glasgow after their lead singer was diagnosed with laryngitis.,आर्कटिक मंकीज नामक रॉक बैंक ने अपने प्रमुख गायक के कंठशोथ से पीडि़त होने के पश्चात ग्लासगो में गिग को स्थगित कर दिया है।,रॉक बैंड द आर्कटिक मंकीज़ ने अपने प्रमुख गायक को स्वरयंत्रशोथ का पता चलने के बाद ग्लासगो में एक कार्यक्रम स्थगित कर दिया है.
The Sheffield group were scheduled to perform at the Hydro venue in the city on Friday.,शुक्रवार को शहर में हाइड्रो स्थल पर प्रदर्शन करने के लिए शेफ्फील्ड समूह का कार्यक्रम निर्धारित था।,शेफ़ील्ड समूह को शुक्रवार को शहर के हाइड्रो स्थल पर प्रदर्शन करना था.
"However, lead singer Alex Turner's illness has forced them to reschedule the show.",लेकिन उनके प्रमुख गायक एलेक्स टर्नर की बीमारी ने उन्हें इस शो की तिथि फिर से निर्धारित करने के लिए बाध्य कर दिया।,लेकिन मुख्य गायक एलेक्स टर्नर की बीमारी ने उन्हें कार्यक्रम का पुनर्निर्धारण करने के लिए मजबूर कर दिया है.
The band's announcement came after they were forced to similarly postpone a gig at the LG Arena in Birmingham on Thursday.,"बैंड की घोषणा उस समय आई, जब वे गुरुवार को बर्मिंघम में LG एरीना में गिग को समान तरीके से स्थगित करने के लिए बाध्य थे।",बैंड की घोषणा तब हुई जब उन्हें गुरुवार को बर्मिंघम में एलजी एरिना में इसी तरह के एक कार्यक्रम को स्थगित करने के लिए मजबूर होना पड़ा.
"In a statement on their official website, the Arctic Monkeys said: ""Following the decision to postpone the show at the Birmingham LG Arena tonight and after seeking medical advice, Arctic Monkeys must also postpone the show at the Glasgow Hydro on Friday, November 1.""","अपनी आधिकारिक वेबसाइट पर बयान में आर्कटिक मंकीज ने कहाः चिकित्सकीय सलाह लेने के पश्चात आज रात बर्मिंधम LG एरीना में शो स्थगित करने के निर्णय के पश्चात, आर्कटिक मंकीज को 1 नवम्बर, शुक्रवार को ग्लासगो हाइड्रो में भी शो को अवश्य ही स्थगित करना होगा।","अपनी आधिकारिक वेबसाइट पर एक बयान में आर्कटिक मंकीज़ ने कहाः "" आज रात बर्मिंघम एलजी एरिना में शो को स्थगित करने के निर्णय के बाद और चिकित्सा सलाह लेने के बाद आर्कटिक मंकीज़ को शुक्रवार 1 नवंबर को ग्लासगो हाइड्रो में शो को भी स्थगित कर देना चाहिए."
"""Alex Turner has been diagnosed with laryngitis and is regrettably not able to perform.""","""जांच में एलेक्स टर्नर को कंठशोथ हुआ पाया गया, तथा वे प्रदर्शन करने में दुखद रूप से सक्षम नहीं हैं।""",एलेक्स टर्नर को स्वरयंत्रशोथ का पता चला है और अफसोस की बात है कि वह प्रदर्शन करने में सक्षम नहीं है.
The show at the LG Arena in Birmingham will now take place on November 20 and the show at the Glasgow Hydro will now take place on November 21.,"बर्मिंघम में LG एरीना में शो अब 20 नवम्बर को होगा, तथा ग्लासगो हाइड्रो में शो 21 नवम्बर को होगा।",बर्मिंघम में एलजी एरिना में शो अब 20 नवंबर को होगा और ग्लासगो हाइड्रो में शो अब 21 नवंबर को होगा.
All tickets remain valid for these shows.,सभी टिकटें इन शो के लिए मान्य रहेंगी।,इन शो के लिए सभी टिकट वैध रहते हैं.
We wish to apologise to all ticket holders for any inconvenience this has caused.,हमें सभी टिकट-धारकों को होने वाले किसी भी असुविधा के लिए खेद व्यक्त करते है।,इससे हुई किसी भी असुविधा के लिए हम सभी टिकट धारकों से माफी चाहते हैं.
Please contact the customer services at the box office you purchased your tickets from for any further assistance.,"किसी अन्य सहायता के लिए, आपने जिस बॉक्स ऑफिस से टिकटें खरीदी थीं, वहां के ग्राहक सेवा से सम्पर्क करें।",कृपया आगे की सहायता के लिए बॉक्स ऑफिस पर ग्राहक सेवाओं से संपर्क करें.
Pope Francis to name first cardinals in February,पोप फ्रांसिस फरवरी में प्रथम कार्डिनल के नाम की घोषणा करेंगे,पोप फ्रांसिस फरवरी में प्रथम कार्डिनल नियुक्त करेंगे
"Pope Francis will create new cardinals of the Catholic Church for his first time on February 22, the Vatican announced Thursday.",वैटिकन ने गुरुवार को घोषणा की है कि पोप फ्रांसिस 22 फरवरी को अपने कार्यकाल में पहली बार कैथोलिक चर्च का नया कार्डिनल बनाएँगे।,वेटिकन ने गुरुवार को घोषणा की कि पोप फ्रांसिस 22 फरवरी को पहली बार कैथोलिक चर्च के नए कार्डिनल बनाएंगे.
"Cardinals are the highest-ranking clergy in the Catholic Church below the pope, and they're the ones who elect popes, so Francis will be appointing his first group of men who will ultimately help choose his successor.","कार्डिनल्स, कैथोलिक चर्च में सर्वोच्च श्रेणी के पादरी होते हैं, इनका पद केवल पोप से नीचे होता है, तथा यही लोग पोप का चयन करते हैं, इसलिए फ्रांसिस अपने व्यक्तियों के प्रथम समूह की निुयक्ति करेंगे, जो अंततः उनका उत्तराधिकारी चुनने में सहायता करेंगे।",कार्डिनल पोप के नीचे कैथोलिक चर्च में सर्वोच्च श्रेणी के पादरी हैं और वे ही पोप चुनते हैं तो फ्रांसिस पुरुषों के अपने पहले समूह को नियुक्त करेगा जो अंततः अपने उत्तराधिकारी को चुनने में मदद करेगा.
There are now 201 cardinals.,अभी वहां कुल 201 कार्डिनल्स हैं।,अब 201 कार्डिनल हैं.
"However, once a cardinal reaches 80 he is no longer permitted to participate in the election of a pope -- this falls to a group of 120 ""cardinal electors.""","वैसे, 80 वर्ष की उम्र पर पहुंचने के पश्चात कार्डिनल को पोप के चुनाव में सहभागिता करने की अनुमति नहीं होती - यह 120 ""कार्डिनल चुनावकर्ता"" के समूह में आते हैं।",लेकिन एक बार जब एक कार्डिनल 80 का हो जाता है तो उसे पोप के चुनाव में भाग लेने की अनुमति नहीं है- यह 120 कार्डिनल निर्वाचकों के समूह में आता है.
"In a statement announcing the news, Father Federico Lombardi, a Vatican spokesman, said a meeting of all the existing cardinals would be held before the ceremony to elevate the new cardinals, known as a consistory.","समाचार की घोषणा करते हुए एक वक्तव्य में वैटिकन के प्रवक्ता फादर फेड्रिको लॉम्बार्डी ने कहा कि नए कार्डिनल्स को प्रोन्नत किए जाने के समारोह से पहले, सभी मौजूदा कार्डिनल्स की बैठक आयोजित की जाएगी, जिसे पोप-सभा कहते हैं।",समाचार की घोषणा करते हुए एक बयान में वैटिकन के प्रवक्ता फादर फेडेरिको लोम्बार्डी ने कहा कि नए कार्डिनलों की पदोन्नति के लिए समारोह से पहले सभी मौजूदा कार्डिनलों की एक बैठक आयोजित की जाएगी.
"""Pope Francis has decided to communicate his decision to convoke February's consistory in advance in order to facilitate the planning of other meetings involving the participation of cardinals from different parts of the world,"" Lombardi said.","लोम्बार्डी ने कहा, ""पोप फ्रांसिस ने फरवरी की पोप-परिषद आयोजित करने के अपने निर्णय को पहले से बताने का निर्णय लिया है, ताकि दुनिया के विभिन्न देशों से कार्डिनल्स की सहभागिता वाली अन्य बैठकों की योजना बनाना सरल हो जाए।""",लोम्बार्डी ने कहा कि पोप फ्रांसिस ने दुनिया के विभिन्न हिस्सों से कार्डिनलों की भागीदारी वाली अन्य बैठकों की योजना को सुविधाजनक बनाने के लिए फरवरी के सम्मेलन को पहले से बुलाने के अपने निर्णय को सूचित करने का निर्णय लिया है.
"Jack Valero of Catholic Voices said that by February, the number of cardinal electors was likely to have dropped.",कैथोलिक वॉयसेज के जैक वैलेरो ने कहा कि फरवरी तक कार्डिनल चुनावकर्ताओं की संख्या में कमी आने की संभावना थी।,कैथोलिक वॉयस के जैक वैलेरो ने कहा कि फरवरी तक कार्डिनल निर्वाचकों की संख्या में कमी आने की संभावना थी.
He said usually a pope would name as many cardinals as was needed to raise the number of cardinal electors back to 120 and as many cardinals aged over 80 as he wanted.,"उन्होंने कहा कि पोप सामान्य तौर पर, कार्डिनल चुनावकर्ता की संख्या 120 से जितनी कम होती है, उतने कार्डिनल्स, तथा अपनी इच्छानुसार 80 वर्ष से अधिक आयु वाले कार्डिनल्स के नाम की घोषणा करते हैं।",उन्होंने कहा कि आम तौर पर एक पोप कार्डिनल निर्वाचकों की संख्या को वापस 120 तक बढ़ाने के लिए जितने कार्डिनल की आवश्यकता होती है और 80 वर्ष से अधिक आयु के कार्डिनल को नाम देता है.
"Next year's consistory would be significant because it would be the first since Francis was elected in March this year, Valero said.","वैलेरो ने कहा कि, अगले वर्ष की पोप-सभा महत्वपूर्ण होगी, क्योंकि इस वर्ष मार्च में फ्रांसिस के चुने जाने के पश्चात यह पहली पोप-सभा होगी।",अगले वर्ष की बैठक महत्वपूर्ण होगी क्योंकि इस वर्ष मार्च में फ्रांसिस के निर्वाचित होने के बाद यह पहली बार होगा.
At the moment there is a sort of bias towards Europe and especially towards Italy.,वर्तमान में यूरोप तथा खास तौर पर इटली के प्रति एक प्रकार का पूर्वाग्रह है।,इस समय यूरोप के प्रति और विशेष रूप से इटली के प्रति एक प्रकार का पक्षपात है.
"""It will be interesting to see whether the new Pope will nominate cardinals from the rest of the world to restore the balance,"" he said.","उन्होंने कहा ""यह देखना रोचक होगा कि क्या संतुलन पुर्नस्थापित करने के लिए नए पोप, बाकी दुनिया से भी कार्डिनल्स मनोनीत करते हैं।",""" यह देखना दिलचस्प होगा कि क्या नया पोप संतुलन बहाल करने के लिए बाकी दुनिया से कार्डिनलों को नामित करेगा. """
"Forty percent of Roman Catholics are in South America, but they have a tiny number of cardinals.","दक्षिण अमेरिका में चालीस प्रतिशत रोमन कैथोलिक्स है, लेकिन कार्डिनल्स में उनकी संख्या बहुत कम है।",रोमन कैथोलिकों में से चालीस प्रतिशत दक्षिण अमेरिका में हैं परन्तु उनके पास कार्डिनलों की संख्या बहुत कम है.
"The cardinals will also be the first to be chosen since Francis formed the Council of Cardinals, a group of eight cardinals from around the world tasked with looking into ways to reform the church.","फ्रांसिस द्वारा कार्डिनल्स परिषद - जो दुनिया भर से आठ कार्डिनल्स का समूह होता है, जिनका कार्य चर्च के सुधार के तरीके तलाशना होता है, गठित किए जाने के पश्चात चुने जाने वाले ये पहले कार्डिनल्स भी होंगे।",फ्रांसिस द्वारा काउंसिल ऑफ कार्डिनल्स का गठन करने के बाद कार्डिनलों का चयन करने वाले कार्डिनलों की संख्या भी सबसे पहले होगी-इस समूह में दुनिया भर के आठ कार्डिनलों को चर्च में सुधार लाने के तरीकों पर विचार करने का काम सौंपा गया है.
In the past the Pope decided everything on his own.,इसके पहले पोप सभी चीजों का निर्णय अपने आप लेते थे।,अतीत में पोप सब कुछ अपने दम पर तय करते थे.
"""Now Francis has selected these eight cardinals to help him,"" Valero said.","वैलेरो ने कहा, ""अभी फ्रांसिस ने अपनी सहायता करने के लिए इन आठ कार्डिनल्स को चुना है।""",""" अब फ्रांसिस ने उनकी मदद के लिए इन आठ कार्डिनलों को चुना है. "" वैलेरो ने कहा."
"He said it was ""quite possible"" that Francis would ask the cardinals for advice.","उन्होंने कहा कि ऐसा ""संभव"" है कि फ्रांसिस कार्डिनल्स से सलाह मांगे।",उन्होंने कहा कि यह काफी संभव है कि फ्रांसिस कार्डिनल से सलाह मांगें.
But we've not been in that situation before -- it's all completely new.,लेकिन हम इस स्थिति में पहले नहीं रहे हैं - यह बिलकुल नया है।,लेकिन हम पहले ऐसी स्थिति में नहीं रहे हैं- यह सब पूरी तरह से नया है.
"Valero said popes typically elevated bishops from large places to the position of cardinal but that Francis was ""full of surprises -- so we don't know who he'll name.""","वैलेरो ने कहा कि आम तौर पर पोप बड़ी जगहों के बिशप को कार्डिनल का पद देते हैं, लेकिन फ्रांसिस ""पूरी तरह आश्चर्यचकित करने वाले थे - इसलिए हम नहीं जानते कि वे किसका नाम घोषित करेंगे।""",वैलेरो ने कहा कि पोप आम तौर पर बड़े स्थानों से बिशपों को कार्डिनल के पद पर ले जाते हैं लेकिन फ्रांसिस आश्चर्य से भरा हुआ था- इसलिए हम नहीं जानते कि वह किसका नाम लेगा.
GM recalls some new pickup trucks in U.S. to fix seatbacks,सीटबैक को सही करने के लिए जी.एम. ने यू.एस. में पिकअप ट्रकों को वापस बुलाया,जीएम ने सीटबैक ठीक करने के लिए अमेरिका में कुछ नए पिकअप ट्रकों को वापस बुलाया
"General Motors Co is recalling nearly 19,000 of its all-new 2014 Chevrolet Silverado and GMC Sierra pickup trucks to repair a problem with the manual reclining seatback, according to a notice from U.S. auto safety regulators on Friday.","शुक्रवार को यू.एस. ऑटो सुरक्षा विनियामकों की ओर से एक सूचना के अनुसार जनरल मोटर्स कम्पनी, अपने बिलकुल नये 2014 शेवरले सिल्वरैडो तथा जी.एम.सी. सीरा पिकअप ट्रक्स में हाथ से घुमाने वाली सीटबैक में एक कमी को सही करने के लिए लगभग 19,000 ट्रकों को वापस बुलाया है।","शुक्रवार को अमेरिकी ऑटो सुरक्षा नियामकों के एक नोटिस के अनुसार जनरल मोटर्स कंपनी अपने बिल्कुल नए 2014 शेवरले सिल्वराडो और जीएमसी सिएरा पिकअप ट्रकों में से लगभग 19,000 को वापस बुला रही है."
"On some of the trucks, the front seats may have a defect in the reclining mechanism.",कुछ ट्रकों में फ्रंट सीट घुमाने की प्रणाली में एक कमी हो सकती है।,कुछ ट्रकों में सामने की सीटों पर झुकने के तंत्र में दोष हो सकता है.
"As a result, the seatbacks fail to comply with federal auto safety standards on head restraints.","परिणामस्वरूप सीटबैक, हेड रिस्ट्रेन्ट के बारे में संघ ऑटो सुरक्षा मानकों का अनुपालन करने में विफल रही।",इसके परिणामस्वरूप. सीटबैक शीर्ष प्रतिबंधों पर संघीय ऑटो सुरक्षा मानकों का पालन करने में विफल रहते हैं.
"""If the vehicle is struck from behind, the head restraint may not properly protect occupants, increasing the risk of injury,"" according to the notice posted on the National Highway Traffic Safety Administration website.","राष्ट्रीय राजमार्ग यातायात सुरक्षा प्रशासन की वेबसाइट पर डाली गई एक सूचना के अनुसार ""यदि वाहन पीछे से फंस जाए तो संभव है कि हेड रिस्ट्रेन्ट, चालक की उचित तरीके से सुरक्षा न कर सके, जिससे चोट का जोखिम बढ़ जायेगा""।",राष्ट्रीय राजमार्ग यातायात सुरक्षा प्रशासन की वेबसाइट पर पोस्ट किए गए नोटिस के अनुसार यदि वाहन को पीछे से मारा जाता है तो हेड रिस्ट्रेंट सवारों की उचित सुरक्षा नहीं कर सकता है जिससे चोट लगने का खतरा बढ़ जाता है.
The recalled models were built between August 1 and September 10.,वापस बुलाये जा मॉडल्स को 1 अगस्त से 10 सितम्बर के बीच में निर्मित किया गया था।,वापस बुलाए गए मॉडलों का निर्माण 1 अगस्त से 10 सितंबर के बीच किया गया था.
GM's truck roll-out began in June and represents the most important vehicle launch for the No. 1 U.S. automaker since its 2009 bankruptcy restructuring.,"जी.एम. के ट्रक जून में भेजे जाने शुरू हुए तथा, वर्ष 2009 दीवालियापन नवीनीकरण के पश्चात शीर्ष यू.एस. ऑटोमेकर के लिए यह सबसे महत्वपूर्ण वॉहन लॉन्च को दर्शाता है।",जीएम का ट्रक रोल आउट जून में शुरू हुआ और 2009 के दिवालियापन पुनर्गठन के बाद से नंबर 1 अमेरिकी वाहन निर्माता के लिए सबसे महत्वपूर्ण वाहन लॉन्च का प्रतिनिधित्व करता है.
GM told truck owners about the defect in the first half of October.,जी.एम. ने ट्रक स्वामियों को इस दोष के बारे में अक्टूबर के उत्तरार्ध में बता दिया था।,जीएम ने ट्रक मालिकों को अक्टूबर की पहली छमाही में दोष के बारे में बताया.
"NHTSA could not review the owner notification letter due to the 16-day government shutdown, which tempered auto sales growth in October.","एन.एस.टी.एम.ए. 16 दिवस की सरकारी बंदी, जिसने अक्टूबर में ऑटो की बिक्री में वृद्धि को बाधित कर दिया था, के कारण स्वामी अधिसूचना पत्र की समीक्षा नहीं कर सका।",एनएचटीएसए 16 दिनों के सरकारी बंद के कारण मालिक अधिसूचना पत्र की समीक्षा नहीं कर सका.
"Sales of the Silverado and Sierra trucks, which were redesigned for the 2014 model year, were up about 20 percent during the first 10 months of the year, GM said on Friday.","जी.एम. ने शुक्रवार को कहा कि, सिल्वरैडो तथा सीरा ट्रक जिन्हें वर्ष 2014 मॉडल वर्ष के लिए पुनः डिजाइन किया गया था, की बिक्री में, इस वर्ष के पहले 10 महीनों में 20 प्रतिशत की वृद्धि थी।",2014 मॉडल वर्ष के लिए पुनः डिज़ाइन किए गए सिल्वेराडो और सिएरा ट्रकों की बिक्री वर्ष के पहले 10 महीनों के दौरान लगभग 20 प्रतिशत बढ़ी थी
"In October, GM sold 42,660 Silverado and 16,503 Sierra pickup trucks.","अक्टूबर में जी.एम. ने 42,660 सिल्वरैडो तथा 16,503 सीरा पिकअप ट्रक बेचा था।","अक्टूबर में जीएम ने 42,660 सिल्वेराडो और 16,503 सिएरा पिकअप ट्रकों की बिक्री की."
GM shares were up 1.4 percent at $37.47 on the New York Stock Exchange on Friday afternoon.,शुक्रवार की दोपहर को न्यूयॉर्क स्टॉक एक्सचेन्ज में जी.एम. के शेयर में 1.4 प्रतिशत की उछाल थी।,शुक्रवार दोपहर न्यूयॉर्क स्टॉक एक्सचेंज में जीएम शेयर 1.4 प्रतिशत की बढ़त के साथ 37.47 डॉलर पर थे.
An Obama voter's cry of despair,ओबामा के मतदाताओं की निराशा की चीत्कार,एक ओबामा मतदाता की निराशा की पुकार
"I voted for President Obama twice, sharing hope in possibility of change",मैने बदलाव की अपेक्षा में ओबामा को दो बार मतदान दिया,मैंने दो बार राष्ट्रपति ओबामा को वोट दिया
He says Obama has had worthy efforts thwarted by GOP obstructionism,उनका कहना है कि जी.ओ.पी. की अवरोध की नीति के कारण ओबामा के महान प्रयास बाधित हो गये हैं,उनका कहना है कि ओबामा ने जी. ओ. पी की बाधाओं के कारण किए गए सार्थक प्रयासों को विफल कर दिया है
